,cve_id,publish_date,cvss_score,access_level,complexity,product_type,vendor,product,references,num_exploits,exploits,has_patch,dirty,gentoo_opensuse_rustsec,oracle,apple,ibm,ubuntu,debian,android,android_pixel,bugzilla_redhat,microsoft,adobe,cisco,zerodayinitiative,fedoraproject,earliest_patch
14,CVE-2020-0016,2020-12-14,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-12-01'],0,[],1,1,,,,,,,2020-12-05,,,,,,,,2020-12-05
15,CVE-2020-0017,2020-02-13,3.3,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-02-01'],0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
16,CVE-2020-0018,2020-02-13,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-02-01'],0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
17,CVE-2020-0019,2020-12-14,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-12-01'],0,[],1,1,,,,,,,2020-12-05,,,,,,,,2020-12-05
18,CVE-2020-0020,2020-02-13,4.9,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-02-01'],0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
19,CVE-2020-0021,2020-02-13,6.8,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-02-01'],0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
20,CVE-2020-0022,2020-02-13,8.3,Local Network,Low,OS,Google,Android,"['https://source.android.com/security/bulletin/2020-02-01'
 'http://seclists.org/fulldisclosure/2020/Feb/10'
 'http://packetstormsecurity.com/files/156891/Android-Bluetooth-Remote-Denial-Of-Service.html'
 'http://www.huawei.com/en/psirt/security-advisories/huawei-sa-20200513-03-smartphone-en']",0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
21,CVE-2020-0023,2020-02-13,4.7,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-02-01'],0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
22,CVE-2020-0024,2020-05-14,4.4,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
23,CVE-2020-0026,2020-02-13,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-02-01'],0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
24,CVE-2020-0027,2020-02-13,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-02-01'],0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
25,CVE-2020-0028,2020-02-13,7.1,Remote,Medium,OS,Google,Android,"['https://lists.apache.org/thread.html/[email\xa0protected]%3Cissues.karaf.apache.org%3E'
 'https://lists.apache.org/thread.html/[email\xa0protected]%3Cissues.karaf.apache.org%3E'
 'https://lists.apache.org/thread.html/[email\xa0protected]%3Cissues.karaf.apache.org%3E'
 'https://lists.apache.org/thread.html/[email\xa0protected]%3Cissues.karaf.apache.org%3E'
 'https://lists.apache.org/thread.html/[email\xa0protected]%3Cissues.karaf.apache.org%3E'
 'https://source.android.com/security/bulletin/2020-02-01'
 'https://lists.apache.org/thread.html/[email\xa0protected]%3Cissues.karaf.apache.org%3E'
 'https://lists.apache.org/thread.html/[email\xa0protected]%3Cissues.karaf.apache.org%3E'
 'https://lists.apache.org/thread.html/[email\xa0protected]%3Cissues.karaf.apache.org%3E'
 'https://lists.apache.org/thread.html/[email\xa0protected]%3Cissues.karaf.apache.org%3E']",0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
26,CVE-2020-0029,2020-03-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-01,,,,,,,,2020-03-01
27,CVE-2020-0030,2020-02-13,6.9,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-02-01'],0,[],1,1,,,,,,,2020-02-05,,,,,,,,2020-02-05
28,CVE-2020-0031,2020-03-10,4.7,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-01,,,,,,,,2020-03-01
29,CVE-2020-0032,2020-03-10,9.3,Remote,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-01,,,,,,,,2020-03-01
30,CVE-2020-0033,2020-03-10,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-01,,,,,,,,2020-03-01
31,CVE-2020-0034,2020-03-10,7.8,Remote,Low,OS,Google,Android,"['https://source.android.com/security/bulletin/2020-03-01'
 'http://lists.opensuse.org/opensuse-security-announce/2020-05/msg00048.html']",0,[],1,1,2020-05-22,,,,,,2020-03-01,,,,,,,,2020-03-01
32,CVE-2020-0035,2020-03-10,4.9,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-01,,,,,,,,2020-03-01
33,CVE-2020-0036,2020-03-10,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-01,,,,,,,,2020-03-01
34,CVE-2020-0037,2020-03-10,7.8,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-01,,,,,,,,2020-03-01
35,CVE-2020-0038,2020-03-10,7.8,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-01,,,,,,,,2020-03-01
36,CVE-2020-0039,2020-03-10,7.8,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-01,,,,,,,,2020-03-01
37,CVE-2020-0041,2020-03-10,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-05,,,,,,,,2020-03-05
38,CVE-2020-0042,2020-03-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-05,,,,,,,,2020-03-05
39,CVE-2020-0043,2020-03-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-05,,,,,,,,2020-03-05
40,CVE-2020-0044,2020-03-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-05,,,,,,,,2020-03-05
41,CVE-2020-0045,2020-03-10,6.9,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
42,CVE-2020-0046,2020-03-10,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
43,CVE-2020-0047,2020-03-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
44,CVE-2020-0048,2020-03-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
45,CVE-2020-0049,2020-03-10,4.3,Remote,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
46,CVE-2020-0050,2020-03-10,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
47,CVE-2020-0051,2020-03-10,4.4,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
48,CVE-2020-0052,2020-03-10,1.9,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
49,CVE-2020-0053,2020-03-10,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
50,CVE-2020-0054,2020-03-10,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
51,CVE-2020-0055,2020-03-10,2.1,Local,Low,OS,Google,Android,"['https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00505.html'
 'https://source.android.com/security/bulletin/pixel/2020-03-01']",0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
52,CVE-2020-0056,2020-03-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
53,CVE-2020-0057,2020-03-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
54,CVE-2020-0058,2020-03-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
55,CVE-2020-0059,2020-03-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
56,CVE-2020-0060,2020-03-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
57,CVE-2020-0061,2020-03-10,4.9,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
58,CVE-2020-0062,2020-03-10,5.0,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
59,CVE-2020-0063,2020-03-10,4.4,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
60,CVE-2020-0064,2020-05-14,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-05,,,,,,,,2020-05-05
61,CVE-2020-0065,2020-05-14,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-05,,,,,,,,2020-05-05
62,CVE-2020-0066,2020-03-10,6.9,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
63,CVE-2020-0067,2020-04-17,2.1,Local,Low,OS,Google,Android,"['http://android.googlesource.com/kernel/common/+/688078e7'
 'https://source.android.com/security/bulletin/pixel/2020-04-01'
 'https://usn.ubuntu.com/4388-1/' 'https://usn.ubuntu.com/4389-1/'
 'https://usn.ubuntu.com/4387-1/' 'https://usn.ubuntu.com/4390-1/'
 'https://usn.ubuntu.com/4527-1/'
 'http://packetstormsecurity.com/files/159565/Kernel-Live-Patch-Security-Notice-LSN-0072-1.html']",0,[],1,1,,,,,2020-09-24,,,2020-04-06,,,,,,,2020-04-06
64,CVE-2020-0068,2020-04-17,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-04-01'],0,[],1,1,,,,,,,,2020-04-06,,,,,,,2020-04-06
65,CVE-2020-0069,2020-03-10,7.2,Local,Low,OS,Google,Android,"['https://source.android.com/security/bulletin/2020-03-01'
 'http://www.huawei.com/en/psirt/security-advisories/huawei-sa-20200527-01-mtk-en']",0,[],1,1,,,,,,,2020-03-05,,,,,,,,2020-03-05
66,CVE-2020-0070,2020-04-17,10.0,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-04-01'],0,[],1,1,,,,,,,2020-04-01,,,,,,,,2020-04-01
67,CVE-2020-0071,2020-04-17,10.0,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-04-01'],0,[],1,1,,,,,,,2020-04-01,,,,,,,,2020-04-01
68,CVE-2020-0072,2020-04-17,10.0,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-04-01'],0,[],1,1,,,,,,,2020-04-01,,,,,,,,2020-04-01
69,CVE-2020-0073,2020-04-17,10.0,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-04-01'],0,[],1,1,,,,,,,2020-04-01,,,,,,,,2020-04-01
70,CVE-2020-0074,2020-09-17,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-09-01'],0,[],1,1,,,,,,,2020-09-01,,,,,,,,2020-09-01
71,CVE-2020-0075,2020-04-17,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-04-01'],0,[],1,1,,,,,,,2020-04-05,,,,,,,,2020-04-05
72,CVE-2020-0076,2020-04-17,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-04-01'],0,[],1,1,,,,,,,2020-04-05,,,,,,,,2020-04-05
73,CVE-2020-0077,2020-04-17,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-04-01'],0,[],1,1,,,,,,,2020-04-05,,,,,,,,2020-04-05
74,CVE-2020-0078,2020-04-17,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-04-01'],0,[],1,1,,,,,,,2020-04-01,,,,,,,,2020-04-01
75,CVE-2020-0079,2020-04-17,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-04-01'],0,[],1,1,,,,,,,2020-04-01,,,,,,,,2020-04-01
76,CVE-2020-0080,2020-04-17,9.3,Remote,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-04-01'],0,[],1,1,,,,,,,2020-04-01,,,,,,,,2020-04-01
77,CVE-2020-0081,2020-04-17,7.2,Local,Low,OS,Google,Android,"['https://source.android.com/security/bulletin/2020-04-01'
 'https://lists.fedoraproject.org/archives/list/[email\xa0protected]/message/KC6HLX5SG4PZO6Y54D2LFJ4ATG76BKOP/']",0,[],1,1,,,,,,,2020-04-01,,,,,,,2020-10-19,2020-04-01
78,CVE-2020-0082,2020-04-17,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-04-01'],0,[],1,1,,,,,,,2020-04-01,,,,,,,,2020-04-01
79,CVE-2020-0083,2020-03-10,5.0,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
80,CVE-2020-0084,2020-03-10,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
81,CVE-2020-0085,2020-03-10,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
82,CVE-2020-0086,2020-03-15,6.8,Remote,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/android-10'],0,[],0,0,,,,,,,,,,,,,,,
83,CVE-2020-0087,2020-03-10,1.9,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-03-01'],0,[],1,1,,,,,,,,2020-03-02,,,,,,,2020-03-02
84,CVE-2020-0088,2020-03-15,4.3,Remote,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-06-01'],0,[],0,1,,,,,,,,,,,,,,,
85,CVE-2020-0089,2020-09-18,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/android-11'],0,[],0,0,,,,,,,,,,,,,,,
86,CVE-2020-0090,2020-05-14,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-05,,,,,,,,2020-05-05
87,CVE-2020-0091,2020-05-14,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-05,,,,,,,,2020-05-05
88,CVE-2020-0092,2020-05-14,1.9,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
89,CVE-2020-0093,2020-05-14,1.9,Local,Medium,OS,Debian,Debian Linux,"['https://source.android.com/security/bulletin/2020-05-01'
 'https://lists.debian.org/debian-lts-announce/2020/05/msg00016.html'
 'http://lists.opensuse.org/opensuse-security-announce/2020-06/msg00017.html'
 'https://usn.ubuntu.com/4396-1/'
 'https://security.gentoo.org/glsa/202007-05']",0,[],1,1,2020-06-11,,,,2020-06-16,,2020-05-01,,,,,,,,2020-05-01
90,CVE-2020-0094,2020-05-14,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
91,CVE-2020-0096,2020-05-14,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
92,CVE-2020-0097,2020-05-14,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
93,CVE-2020-0098,2020-05-14,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
94,CVE-2020-0099,2020-12-14,9.3,Remote,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-12-01'],0,[],1,1,,,,,,,2020-12-01,,,,,,,,2020-12-01
95,CVE-2020-0100,2020-05-14,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
96,CVE-2020-0101,2020-05-14,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
97,CVE-2020-0102,2020-05-14,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
98,CVE-2020-0103,2020-05-14,10.0,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
99,CVE-2020-0104,2020-05-14,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
100,CVE-2020-0105,2020-05-14,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
101,CVE-2020-0106,2020-05-14,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
102,CVE-2020-0107,2020-07-17,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-07-01'],0,[],1,1,,,,,,,2020-07-01,,,,,,,,2020-07-01
103,CVE-2020-0108,2020-08-11,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-08-01'],0,[],1,1,,,,,,,2020-08-01,,,,,,,,2020-08-01
104,CVE-2020-0109,2020-05-14,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-01,,,,,,,,2020-05-01
105,CVE-2020-0110,2020-05-14,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-05-01'],0,[],1,1,,,,,,,2020-05-05,,,,,,,,2020-05-05
106,CVE-2020-0113,2020-06-10,4.9,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-06-01'],0,[],1,1,,,,,,,2020-06-01,,,,,,,,2020-06-01
107,CVE-2020-0114,2020-06-10,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-06-01'],0,[],1,1,,,,,,,2020-06-01,,,,,,,,2020-06-01
108,CVE-2020-0115,2020-06-10,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-06-01'],0,[],1,1,,,,,,,2020-06-01,,,,,,,,2020-06-01
109,CVE-2020-0116,2020-06-10,4.9,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-06-01'],0,[],1,1,,,,,,,2020-06-01,,,,,,,,2020-06-01
110,CVE-2020-0117,2020-06-10,10.0,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-06-01'],0,[],1,1,,,,,,,2020-06-01,,,,,,,,2020-06-01
111,CVE-2020-0118,2020-06-10,6.9,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-06-01'],0,[],1,1,,,,,,,2020-06-01,,,,,,,,2020-06-01
112,CVE-2020-0119,2020-06-10,5.4,Remote,High,OS,Google,Android,['https://source.android.com/security/bulletin/2020-06-01'],0,[],1,1,,,,,,,2020-06-01,,,,,,,,2020-06-01
113,CVE-2020-0120,2020-07-17,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-06-01'],0,[],1,1,,,,,,,,2020-06-01,,,,,,,2020-06-01
114,CVE-2020-0121,2020-06-10,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-06-01'],0,[],1,1,,,,,,,2020-06-01,,,,,,,,2020-06-01
115,CVE-2020-0122,2020-07-17,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-07-01'],0,[],1,1,,,,,,,2020-07-01,,,,,,,,2020-07-01
116,CVE-2020-0123,2020-09-17,10.0,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-09-01'],0,[],1,1,,,,,,,2020-09-05,,,,,,,,2020-09-05
117,CVE-2020-0124,2020-06-11,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-06-01'],0,[],1,1,,,,,,,,2020-06-01,,,,,,,2020-06-01
118,CVE-2020-0125,2020-09-17,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/android-11'],0,[],0,0,,,,,,,,,,,,,,,
119,CVE-2020-0126,2020-06-11,6.9,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-06-01'],0,[],1,1,,,,,,,,2020-06-01,,,,,,,2020-06-01
120,CVE-2020-0127,2020-06-11,4.3,Remote,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-06-01'],0,[],1,1,,,,,,,,2020-06-01,,,,,,,2020-06-01
121,CVE-2020-0128,2020-06-11,5.0,Remote,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-06-01'],0,[],1,1,,,,,,,,2020-06-01,,,,,,,2020-06-01
122,CVE-2020-0129,2020-06-11,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-06-01'],0,[],1,1,,,,,,,,2020-06-01,,,,,,,2020-06-01
123,CVE-2020-0130,2020-09-17,4.6,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/android-11'],0,[],0,0,,,,,,,,,,,,,,,
124,CVE-2020-0131,2020-06-11,6.8,Remote,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-06-01'],0,[],1,1,,,,,,,,2020-06-01,,,,,,,2020-06-01
125,CVE-2020-0132,2020-06-11,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-06-01'],0,[],1,1,,,,,,,,2020-06-01,,,,,,,2020-06-01
126,CVE-2020-0133,2020-06-11,4.4,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/pixel/2020-06-01'],0,[],1,1,,,,,,,,2020-06-01,,,,,,,2020-06-01
